firstname;lastname;email;username;phone;gender;address;postcode;month;day;year;plainPassword
;Gladu;@dayrep.com;ChristabelBondy;0653841644;m;98,Square de la Couronne OZOIR-LA-FERRIÈRE;77330;10;11;1980;CsM1J3vaqHFf
;Beausoleil;@jourrapide.com;AventBeausoleil;0627949723;m;81,avenue de l'Amandier BONDY;93140;3;17;1969;YUdChuKWDF02
;Turcotte;@armyspy.com;KermanTurcotte;0673277597;m;24,Rue Marie De Médicis CALUIRE-ET-CUIRE;69300;12;17;1930;iF0dlWI42YBw
;Therriault;@teleworm.us;JulienTherriault;0657992675;f;79,rue Gouin de Beauchesne SAINT-OUEN;93400;12;23;1926;2CuA1S8DvKFs
;Paquette;@teleworm.us;AlexandrinPaquette;0685958003;m;17,Place du Jeu de Paume VIERZON;18100;5;17;1939;DKpHf1jr0UV4
;Grivois;@jourrapide.com;EleonoreGrivois;0646973158;m;55,Place de la Gare COMBS-LA-VILLE;77380;12;12;1937;T7iCOt3kq4Vx
;Therrien;@rhyta.com;NoemiTherrien;0686206886;f;5,avenue Voltaire MAGAGNOSC;06520;9;9;1921;HIUyEzPYlpGj
;Fontaine;@jourrapide.com;JacquesFontaine;0658390520;m;27,cours Franklin Roosevelt MARSEILLE;13007;7;6;1990;kTRMqHUCfY6Q
;Croquetaigne;@dayrep.com;BevisCroquetaigne;0686192445;f;40,cours Jean Jaures BORDEAUX;33800;8;24;1995;CFHasXbKhRD2
;L'Angelier;@jourrapide.com;FlorusLAngelier;0649523798;f;15,rue Porte d'Orange CAVAILLON;84300;1;2;1969;jQly906vuao3
;Paiement;@rhyta.com;BurkettPaiement;0648821671;m;79,Chemin Challet LIÉVIN;62800;1;5;1922;3HrteLu0PiE4
;Bisson;@teleworm.us;TroyBisson;0614888739;m;48,boulevard de Prague NÎMES;30900;10;17;1939;40qNervYpUZw
;Blais;@dayrep.com;AmelieBlais;0648416065;m;40,rue Reine Elisabeth MELUN;77000;10;6;1991;tGaWblfjVdPS
;Champagne;@teleworm.us;AmelieChampagne;0682616345;m;83,rue de la Boétie POINTE-À-PITRE;97110;10;17;1943;ueP26otpJX4R
;Fouquet;@dayrep.com;RomaineFouquet;0698002283;m;33,rue Marguerite VIRY-CHÂTILLON;91170;9;13;1940;52IA03Np1bjS
;Marier;@rhyta.com;ErmengardiMarier;0622884269;m;43,rue Michel Ange LE LAMENTIN;97232;4;17;1960;KIRy6YwvermJ
;Bériault;@rhyta.com;OgierBeriault;0633318009;f;64,rue Clement Marot PERPIGNAN;66000;5;9;1957;DlIU2QG4FXka
;Leduc;@rhyta.com;NamoLeduc;0612948154;m;83,rue des lieutemants Thomazo DOLE;39100;3;20;1997;kjuVNvL2qmE5
;Rochon;@armyspy.com;ToussaintRochon;0679512698;f;28,Avenue Millies Lacroix DUNKERQUE;59640;3;14;1985;woQ7a1AvBm0x
;David;@armyspy.com;AnceloteDavid;0613917468;m;98,rue Ernest Renan CHERBOURG;50100;10;21;1949;KGOzBD0xuJ1g
;Pinneau;@jourrapide.com;PorterPinneau;0663176820;f;1,boulevard Albin Durand CERGY;95800;9;4;1947;gYC81Z0R7QJx
;Sauvé;@teleworm.us;FaustinSauve;0634157412;f;86,Rue Bonnet VITROLLES;13127;8;21;1933;vQHeBN41cjRt
